ReactioneName,ReactionID,Category,Class,EntityName,UniprotID
Carbonic anhydrase dehydrates bicarbonate (mitochondria),R-HSA-1475028,Input,SimpleEntity,UniProt:P35218 CA5A,P35218
Carbonic anhydrase dehydrates bicarbonate (mitochondria),R-HSA-1475028,Input,SimpleEntity,UniProt:Q9Y2D0 CA5B,Q9Y2D0
Carbonic anhydrase hydrates carbon dioxide (cytosol),R-HSA-1475026,Input,SimpleEntity,UniProt:P07451 CA3,P07451
Carbonic anhydrase hydrates carbon dioxide (cytosol),R-HSA-1475026,Input,SimpleEntity,UniProt:P00915 CA1,P00915
Carbonic anhydrase hydrates carbon dioxide (cytosol),R-HSA-1475026,Input,SimpleEntity,UniProt:Q8N1Q1 CA13,Q8N1Q1
Carbonic anhydrase hydrates carbon dioxide (cytosol),R-HSA-1475026,Input,SimpleEntity,UniProt:P00918 CA2,P00918
Carbonic anhydrase hydrates carbon dioxide (cytosol),R-HSA-1475026,Input,SimpleEntity,UniProt:P43166 CA7,P43166
Carbonic anhydrase hydrates carbon dioxide (plasma membrane),R-HSA-1475025,Input,SimpleEntity,UniProt:Q16790 CA9,Q16790
Carbonic anhydrase hydrates carbon dioxide (plasma membrane),R-HSA-1475025,Input,SimpleEntity,UniProt:O43570 CA12,O43570
Carbonic anhydrase hydrates carbon dioxide (plasma membrane),R-HSA-1475025,Input,SimpleEntity,UniProt:P22748 CA4,P22748
Carbonic anhydrase hydrates carbon dioxide (plasma membrane),R-HSA-1475025,Input,SimpleEntity,UniProt:Q9ULX7 CA14,Q9ULX7
Carbonic Anhydrase VI hydrates carbon dioxide to bicarbonate and a proton,R-HSA-1237045,Input,SimpleEntity,UniProt:P23280 CA6,P23280
Carbonic anhydrase dehydrates bicarbonate (cytosol),R-HSA-1475022,Input,SimpleEntity,UniProt:P07451 CA3,P07451
Carbonic anhydrase dehydrates bicarbonate (cytosol),R-HSA-1475022,Input,SimpleEntity,UniProt:P00915 CA1,P00915
Carbonic anhydrase dehydrates bicarbonate (cytosol),R-HSA-1475022,Input,SimpleEntity,UniProt:Q8N1Q1 CA13,Q8N1Q1
Carbonic anhydrase dehydrates bicarbonate (cytosol),R-HSA-1475022,Input,SimpleEntity,UniProt:P00918 CA2,P00918
Carbonic anhydrase dehydrates bicarbonate (cytosol),R-HSA-1475022,Input,SimpleEntity,UniProt:P43166 CA7,P43166
Carbonic anhydrase VI dehydrates bicarbonate to water and carbon dioxide,R-HSA-1237081,Input,SimpleEntity,UniProt:P23280 CA6,P23280
Carbonic anhydrase hydrates carbon dioxide (mitochondria),R-HSA-1475032,Input,SimpleEntity,UniProt:P35218 CA5A,P35218
Carbonic anhydrase hydrates carbon dioxide (mitochondria),R-HSA-1475032,Input,SimpleEntity,UniProt:Q9Y2D0 CA5B,Q9Y2D0
Carbonic anhydrase dehydrates bicarbonate (plasma membrane),R-HSA-1475017,Input,SimpleEntity,UniProt:Q16790 CA9,Q16790
Carbonic anhydrase dehydrates bicarbonate (plasma membrane),R-HSA-1475017,Input,SimpleEntity,UniProt:O43570 CA12,O43570
Carbonic anhydrase dehydrates bicarbonate (plasma membrane),R-HSA-1475017,Input,SimpleEntity,UniProt:P22748 CA4,P22748
Carbonic anhydrase dehydrates bicarbonate (plasma membrane),R-HSA-1475017,Input,SimpleEntity,UniProt:Q9ULX7 CA14,Q9ULX7
"I(1,4,5)P3 transports from the cytosol to the nucleus",R-HSA-1855190,Input,SimpleEntity,null,null
"I(1,3,4,5)P4 transports from the cytosol to the nucleus",R-HSA-1855168,Input,SimpleEntity,null,null
